Ascend
Raw:-6.428058,-3.9448762,-1.8937278,-2.1927228,2.1905935,-0.80592173,-17.835817,0.22246262,1.58942,10.033385
EFT:-6.428057,-3.9448752,-1.893729,-2.1927235,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Descend
Raw:-6.4280596,-3.9448776,-1.893733,-2.1927264,2.1905932,-0.8059248,-17.835815,0.22246513,1.5894121,10.033383
EFT:-6.4280567,-3.9448752,-1.8937289,-2.1927238,2.190595,-0.8059221,-17.835814,0.22246297,1.5894173,10.033384
Random1
Raw:-6.428056,-3.9448733,-1.8937256,-2.1927211,2.1905966,-0.80592066,-17.835814,0.2224622,1.589422,10.033386
EFT:-6.428057,-3.9448752,-1.893729,-2.1927238,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random2
Raw:-6.4280567,-3.9448762,-1.8937261,-2.1927228,2.1905932,-0.8059214,-17.835817,0.22246227,1.5894206,10.033384
EFT:-6.428057,-3.9448752,-1.893729,-2.1927235,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random3
Raw:-6.4280562,-3.9448752,-1.8937294,-2.192724,2.1905932,-0.80592245,-17.83581,0.2224631,1.589416,10.033382
EFT:-6.4280567,-3.9448748,-1.8937287,-2.1927235,2.1905947,-0.8059222,-17.835814,0.22246292,1.5894177,10.033384
Random4
Raw:-6.4280553,-3.9448724,-1.8937261,-2.192722,2.1905975,-0.8059215,-17.83581,0.22246239,1.5894207,10.033384
EFT:-6.428057,-3.9448752,-1.893729,-2.1927238,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random5
Raw:-6.4280567,-3.9448738,-1.8937314,-2.1927254,2.1905966,-0.8059229,-17.83581,0.22246352,1.5894146,10.033382
EFT:-6.4280567,-3.9448748,-1.8937287,-2.1927233,2.1905944,-0.805922,-17.835814,0.22246285,1.5894175,10.033384
Random6
Raw:-6.428061,-3.9448786,-1.8937337,-2.1927266,2.1905928,-0.8059247,-17.83582,0.22246501,1.5894121,10.033385
EFT:-6.4280567,-3.9448748,-1.8937287,-2.1927233,2.1905944,-0.805922,-17.835814,0.22246285,1.5894175,10.033384
Random7
Raw:-6.4280596,-3.9448762,-1.8937309,-2.1927252,2.1905951,-0.80592364,-17.83582,0.22246405,1.5894154,10.033387
EFT:-6.428057,-3.944875,-1.893729,-2.1927235,2.1905944,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random8
Raw:-6.4280586,-3.9448757,-1.8937302,-2.1927245,2.1905947,-0.80592304,-17.835817,0.2224637,1.5894166,10.033385
EFT:-6.428057,-3.9448752,-1.893729,-2.1927235,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random9
Raw:-6.4280586,-3.9448757,-1.8937299,-2.192724,2.190594,-0.80592245,-17.835817,0.22246328,1.589417,10.033386
EFT:-6.428057,-3.944875,-1.893729,-2.1927235,2.1905944,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random10
Raw:-6.4280567,-3.9448752,-1.893728,-2.1927223,2.1905947,-0.80592114,-17.835814,0.22246268,1.5894195,10.033384
EFT:-6.428057,-3.9448752,-1.893729,-2.1927235,2.1905944,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random11
Raw:-6.4280577,-3.9448762,-1.8937304,-2.1927242,2.1905937,-0.8059223,-17.835814,0.22246334,1.5894157,10.033384
EFT:-6.428057,-3.944875,-1.893729,-2.1927235,2.1905944,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random12
Raw:-6.42806,-3.9448776,-1.8937311,-2.1927247,2.1905942,-0.8059229,-17.835821,0.22246364,1.589416,10.033387
EFT:-6.428057,-3.944875,-1.893729,-2.1927235,2.1905947,-0.80592203,-17.835814,0.22246294,1.5894172,10.033384
Random13
Raw:-6.4280586,-3.9448748,-1.8937299,-2.1927242,2.1905956,-0.80592275,-17.835815,0.22246334,1.589417,10.033386
EFT:-6.4280567,-3.9448748,-1.8937287,-2.1927233,2.1905944,-0.805922,-17.835814,0.22246285,1.5894175,10.033384
Random14
